Title,Price,Bedrooms,Bathrooms,Square_feet,Dog,Cat,Parking,Smoking,Time_posted,Longitude,Latitude,Area
$7500 / 4br - 2200ft2 - Prime Location Near Downtown Menlo (menlo park) ,7500.0,4.0,2.0,2200.0,No,No,,no smoking,2020-03-02 18:03:00,-122.188886,37.451399,pen
$2195 / 1br - 950ft2 - YOUR DREAM HOME IS ABOUT TO BECOME TRUE...HUGE BONUS ROOM!! (san leandro) ,2195.0,1.0,1.0,950.0,No,Yes,,no smoking,2020-03-02 18:03:00,-122.139221,37.686232,eby
$5375 / 3br - 1286ft2 - Stunning Views of the Bay! Gorgeous Brand New 3x2! 8 Weeks FREE! (oakland west) ,5375.0,3.0,2.0,1286.0,Yes,Yes,,smoking ok,2020-02-20 18:13:00,-122.274055,37.795558,eby
$3864 / 2br - 1149ft2 - Enjoy 2 Weeks FREE- Lease Today- Move in June through August (santa clara) ,3864.0,2.0,2.0,1149.0,Yes,Yes,,no smoking,2020-03-02 17:27:00,-121.9844,37.3483,sby
$2400 / 1br - 550ft2 - Cozy 1 bed/1 bath in Convenient Location (menlo park) ,2400.0,1.0,1.0,550.0,No,No,,no smoking,2020-03-02 18:02:00,-122.152399,37.46014,pen
$2800 / 2br - 1061ft2 - Courtyard Top Floor Two Bedroom Two Bathroom Available Now (walnut creek) ,2800.0,2.0,2.0,1061.0,Yes,Yes,,no smoking,2020-03-02 18:02:00,-122.057397,37.901322,eby
"$4000 / 3br - 800ft2 - 3BR, 2BA: Spacious, Urban Living, Financial District (Furnished) (financial district) ",4000.0,3.0,2.0,800.0,No,No,street parking,no smoking,2020-03-02 17:54:00,-122.407001,37.795077,sfc
$6850 / 2br - 1300ft2 - Remodeled Home on Large Lot w/Beautiful Studio Unit Included (palo alto) ,6850.0,2.0,2.5,1300.0,No,No,street parking,no smoking,2020-03-02 18:02:00,-122.145085,37.434029,pen
$2450 / 2br - 1000ft2 - ENJOY THE LUXURY OF THIS WONDERFUL 2BED HOME!! **1ST FLOOR** (san leandro) ,2450.0,2.0,1.0,1000.0,No,Yes,,no smoking,2020-03-02 18:02:00,-122.139221,37.686232,eby
$2705 / 1br - 770ft2 - 1-Bedroom with 2 Closets! Relaxing Commute to SF by Bus/Ferry! (alameda) ,2705.0,1.0,1.0,770.0,Yes,Yes,,no smoking,2020-03-02 18:02:00,-122.27247,37.762614,eby
$2400 / 3br - 1022ft2 - 3 BEDROOM 2 BATH available ! em (rohnert pk / cotati) ,2400.0,3.0,2.0,1022.0,Yes,Yes,,no smoking,2020-02-25 18:11:00,-122.6941,38.347,nby
$2400 / 3br - 1200ft2 - LARGE UNIT AVAILABLE NOW!!!  vp (rohnert pk / cotati) ,2400.0,3.0,2.0,1200.0,No,Yes,,no smoking,2020-02-25 18:11:00,-122.688723,38.335757,nby
$3586 / 2br - 1067ft2 - Stop By Today and get Up to 8 weeks FREE Rent!!! Welcome Home! (oakland lake merritt / grand) ,3586.0,2.0,2.0,1067.0,Yes,Yes,,no smoking,2020-03-02 17:53:00,-122.2223,37.8471,eby
